    Subject           Activity tBodyAcc-mean()-X tBodyAcc-mean()-Y
144      24             LAYING         0.2728505      -0.017355521
145      25            WALKING         0.2789928      -0.018647762
146      25   WALKING_UPSTAIRS         0.2779954      -0.026986352
147      25 WALKING_DOWNSTAIRS         0.2913297      -0.021017052
    tBodyAcc-mean()-Z tGravityAcc-mean()-X tGravityAcc-mean()-Y
1         -0.11114810            0.9352232         -0.282165021
2         -0.09730200            0.8933511         -0.362153364
3         -0.10756619            0.9318744         -0.266610339
4         -0.10454418            0.8315099          0.204411593
5         -0.11017291            0.9425588         -0.275525066
6         -0.11320355           -0.2488818          0.705549773
7         -0.10550036            0.9130173         -0.346607090
8         -0.15251390            0.7907174         -0.416214890
9         -0.11681294            0.8618313         -0.325780101
10        -0.10921827            0.9404773         -0.105630024
11        -0.10763032            0.8961821         -0.371710688
12        -0.10724561           -0.5097542          0.752536639
13        -0.11267486            0.9365067         -0.261986358
14        -0.11006486            0.8835334         -0.382851154
15        -0.11613984            0.9390578         -0.228829214
16        -0.09835792            0.9010990          0.127303379
17        -0.10162172            0.9350308         -0.301735130
18        -0.10130048           -0.2417585          0.837032100
19        -0.11140306            0.9639997         -0.085854027
20        -0.11421946            0.9462643         -0.232944305
21        -0.10677752            0.9477319         -0.062085277
22        -0.10587460            0.8693030          0.211622540
23        -0.09615749            0.9561978         -0.075900906
24        -0.11068815           -0.4206647          0.915165104
25        -0.10774178            0.9726250         -0.100440285
26        -0.10747145            0.9368218         -0.265942569
27        -0.10031993            0.9566494         -0.060757832
28        -0.10854030            0.8807314          0.168445524
29        -0.10217110            0.9601887         -0.038710127
30        -0.10793760           -0.4834706          0.954890346
31        -0.11030317            0.9580675         -0.214694852
32        -0.12208244            0.9136322         -0.340732609
33        -0.10720936            0.9285315         -0.214046334
34        -0.11012773            0.9336929          0.068262866
35        -0.11217283            0.9451390         -0.230251036
36        -0.13311957           -0.4767099          0.956593814
37        -0.11091223            0.9325665         -0.159097004
38        -0.14376969            0.8187466         -0.240950944
39        -0.09693831            0.9306236         -0.129871673
40        -0.12246460            0.9691478          0.006088466
41        -0.09977783            0.9587287         -0.117607049
42        -0.10136104           -0.5028143          0.393444278
43        -0.10725209            0.9135863         -0.217102195
44        -0.11512212            0.8603687         -0.291341492
45        -0.10759814            0.9140235         -0.187610243
46        -0.10446105            0.8324539          0.240095117
47        -0.10611500            0.9576699         -0.090460349
48        -0.10224537           -0.4059300          0.589922435
49        -0.11082051            0.9518671         -0.031434174
50        -0.12521900            0.9026478         -0.037794782
51        -0.09102788            0.9384178         -0.035230465
52        -0.07537847            0.9163245         -0.041425823
53        -0.09527475            0.9613235         -0.010383816
54        -0.10754972           -0.5802528         -0.119154196
55        -0.10905751            0.9630921         -0.083827701
56        -0.11818042            0.9318610         -0.056567028
57        -0.11084860            0.9398074         -0.064616077
58        -0.10425324            0.7918872         -0.041260775
59        -0.10796408            0.9540088         -0.043159783
60        -0.11716864           -0.4530697         -0.139297681
61        -0.10609630            0.9464685         -0.212045870
62        -0.10679722            0.8926262         -0.343576925
63        -0.11107015            0.9417464         -0.200321943
64        -0.11284022            0.8719638          0.213716306
65        -0.10868663            0.9564645         -0.173082705
66        -0.10878658           -0.1348320          0.943017941
67        -0.10316111            0.9668735         -0.155983450
68        -0.10733973            0.9383715         -0.259144203
69        -0.10955593            0.9498620         -0.178702175
70        -0.10630723            0.9262290          0.083050901
71        -0.10552700            0.9573178         -0.218865356
72        -0.10816013           -0.3785921          0.803378835
73        -0.11143146            0.9108557         -0.283658581
74        -0.12576727            0.8476343         -0.357404502
75        -0.10199394            0.9418756         -0.211555113
76        -0.09724651            0.9255765          0.101769752
77        -0.11212414            0.9426953         -0.239943146
78        -0.10433186           -0.1568522          0.656400944
79        -0.10675637            0.8029740         -0.270314823
80        -0.11227969            0.6882561         -0.322680365
81        -0.09283302            0.8162964         -0.264254675
82        -0.10040149            0.9390388         -0.036453396
83        -0.10381770            0.8753196         -0.226692231
84        -0.08683333           -0.1454836          0.485396927
85        -0.10762182            0.9515244         -0.233918283
86        -0.11695246            0.9185448         -0.314961013
87        -0.11052607            0.9323022         -0.167462317
88        -0.11366125            0.8903643          0.210849305
89        -0.10591083            0.9655289         -0.164713175
90        -0.11853024           -0.1719931          0.899242553
91        -0.10880405            0.9259813         -0.066824647
92        -0.12407452            0.8268743         -0.080592603
93        -0.11987371            0.9178184         -0.058483268
94        -0.08914040            0.9424574         -0.086588254
95        -0.10365773            0.9415877         -0.057886704
96        -0.10731049           -0.2067837         -0.019927023
97        -0.10979212            0.9281124         -0.179927383
98        -0.12129044            0.8535306         -0.284153753
99        -0.08924327            0.9288176         -0.151077058
100       -0.11362409            0.9448837         -0.002814673
101       -0.11143215            0.9046785         -0.257486818
102       -0.10700628           -0.1991331          0.658792072
103       -0.10421832            0.9238652         -0.254317086
104       -0.11265589            0.8833303         -0.316619946
105       -0.10339081            0.9322775         -0.225809125
106       -0.11190478            0.9098165          0.129886476
107       -0.10845336            0.9475732         -0.204206321
108       -0.10769893           -0.2206005          0.719755404
109       -0.12273667            0.9352226         -0.223338100
110       -0.15105461            0.8294284         -0.387100709
111       -0.13369524            0.8819409         -0.215018042
112       -0.10870765            0.5813715          0.360343535
113       -0.10904190            0.9440458         -0.223897808
114       -0.10898146           -0.6800432          0.725646623
115       -0.11353948            0.8999652         -0.344443913
116       -0.12102395            0.7770957         -0.479894843
117       -0.10460293            0.9197266         -0.277419719
118       -0.10836963            0.9244545          0.073338541
119       -0.10040276            0.9112318         -0.305938717
120       -0.10427432           -0.4724314          0.864882957
121       -0.10431933            0.8625248         -0.370984549
122       -0.12541427            0.7811772         -0.432309617
123       -0.09816866            0.8726832         -0.356673290
124       -0.11205789            0.9400314          0.021520671
125       -0.11041786            0.8812133         -0.346155559
126       -0.10325383           -0.1743492          0.599992678
127       -0.10711251            0.9360964         -0.259644937
128       -0.11755086            0.8894544         -0.336826910
129       -0.10741578            0.9218206         -0.222215179
130       -0.10582737            0.8393059          0.208553884
131       -0.10496742            0.9540643         -0.226418774
132       -0.11080092           -0.4184946          0.632484076
133       -0.11338299            0.9398097         -0.161761370
134       -0.12689062            0.8434388         -0.214481808
135       -0.09881237            0.9237114         -0.110028842
136       -0.10380868            0.9365092          0.121751062
137       -0.11059702            0.9198571         -0.117401360
138       -0.10425678           -0.3915650          0.438434067
139       -0.11059595            0.9597011         -0.115116242
140       -0.11424861            0.9063695         -0.237498409
141       -0.10481882            0.9508834         -0.128326711
142       -0.10304106            0.9196376          0.182254652
143       -0.10822255            0.9664423         -0.145201301
144       -0.10723624           -0.3592925          0.738430699
145       -0.10873764            0.9374831         -0.127315871
146       -0.12621044            0.9276932         -0.217641282
147       -0.10719238            0.9296275         -0.072427018
    tGravityAcc-mean()-Z tBodyAccJerk-mean()-X tBodyAccJerk-mean()-Y
1           -0.068102864            0.07404163          2.827211e-02
2           -0.075402940            0.10137273          1.948631e-02
3           -0.062119959            0.05415532          2.965045e-02
4            0.332043703            0.07748252         -6.191028e-04
5            0.011531268            0.07532628          8.032941e-03
6            0.445817720            0.08108653          3.838204e-03
7            0.084727087            0.06180807          1.824927e-02
8           -0.195888239            0.07445078         -9.709855e-03
9           -0.043889016            0.11004062         -3.279591e-03
10           0.198726769            0.07225644          1.169545e-02
11           0.130019971            0.07481005          9.660777e-03
12           0.646834880            0.08259725          1.225479e-02
13          -0.138107866            0.08147459          1.005915e-02
14          -0.162943955            0.04268810          3.972493e-02
15          -0.102352758            0.07256893          1.097078e-02
16           0.139020582            0.07260984          2.725291e-03
17           0.024763107            0.07509006          7.716636e-03
18           0.488703185            0.07698111          1.380410e-02
19           0.127764113            0.07835291          2.956024e-03
20           0.084167538            0.05609719          2.340190e-02
21           0.148714809            0.09718627          5.637802e-03
22           0.110120481            0.07845002         -1.085822e-02
23           0.166893826            0.07213284         -6.530157e-03
24           0.341531311            0.09344942          6.933132e-03
25           0.002476236            0.08458888         -1.631941e-02
26          -0.023203536            0.07954435          1.401304e-02
27           0.021677791            0.10965060          1.376182e-02
28           0.143006858            0.07495774         -2.787733e-03
29           0.138638437            0.07251899         -2.219902e-03
30           0.263644692            0.08481648          7.474608e-03
31           0.033188883            0.06995859         -1.648317e-02
32          -0.018460896            0.07210675          3.713434e-03
33          -0.003079817            0.10368134          9.876858e-03
34           0.069521966            0.07547216          2.556498e-06
35           0.013919347            0.07306996          8.718840e-03
36           0.175867709            0.09634820         -1.145292e-03
37          -0.160846924            0.09014626          1.843227e-02
38          -0.403599710            0.07246499         -8.123871e-04
39          -0.154935539            0.09689262         -1.910611e-02
40           0.064963625            0.06685198          1.168634e-02
41          -0.051657372            0.07519151          6.947004e-03
42           0.907537823            0.09689040          2.506242e-02
43          -0.186267837            0.07033935         -6.039475e-03
44          -0.192306961            0.08138168          1.412059e-02
45          -0.141817935            0.11893809         -3.801938e-02
46           0.263895186            0.07867138         -6.575163e-03
47          -0.097939202            0.07537390          8.149517e-03
48           0.719831539            0.08783269          2.332992e-02
49          -0.115856121            0.07043573          2.122559e-02
50          -0.266009867            0.06922662          1.266122e-03
51          -0.082276175            0.13019304         -2.068660e-02
52           0.085263099            0.07700501          9.817397e-03
53           0.009147692            0.07600321          1.306998e-02
54           0.957873042            0.08807345          1.156173e-02
55           0.054927624            0.08579438          4.082488e-03
56           0.022752770            0.06488293          2.663143e-02
57           0.041871541            0.10095939          1.078249e-02
58           0.202534573            0.07753725          8.978755e-03
59           0.034698021            0.08097844          1.190076e-02
60          -0.031121624            0.07381506          1.569900e-02
61           0.134053215            0.08297093          1.276825e-02
62           0.146633747            0.09685617         -1.326253e-02
63           0.132371685            0.08971687          2.522742e-02
64           0.188531696            0.07617773         -2.138386e-04
65           0.127198423            0.07600977          1.241310e-02
66           0.112620190            0.07666453          1.221939e-02
67          -0.036084288            0.04576440          1.977669e-02
68          -0.070250382            0.07286608         -6.894949e-03
69          -0.056105062            0.06215003         -1.192892e-02
70           0.088564070            0.07712777          1.059905e-02
71          -0.039538277            0.07446318          1.004800e-02
72           0.275043198            0.08542954          7.744083e-03
73          -0.131299719            0.08095902          3.083645e-03
74          -0.207507171            0.06924421         -1.280098e-03
75          -0.095082034            0.10170454         -7.518682e-03
76           0.075777386            0.07528659         -1.123441e-03
77          -0.052485661            0.07586310          7.620352e-03
78           0.598884989            0.07677748          1.834419e-02
79          -0.422495268            0.07208779          2.411602e-02
80          -0.495088720            0.08033030         -1.831312e-02
81          -0.392555882            0.04286316          2.913394e-02
82          -0.094597053            0.07418788         -4.361860e-03
83          -0.338174889            0.07379337          5.795662e-03
84           0.836562910            0.09814038         -8.315071e-03
85           0.075735673            0.08977707          8.905886e-03
86           0.081180341            0.07297243         -4.173618e-03
87           0.078882241            0.07114572          1.511590e-02
88           0.002815660            0.07847928         -8.984376e-03
89           0.064597599            0.07522807          6.172555e-03
90          -0.036919291            0.07675154          1.239843e-02
91          -0.217351194            0.07702238          9.684447e-03
92          -0.379059698            0.07625267          1.737293e-02
93          -0.225382496            0.09078571         -1.481145e-02
94           0.089268220            0.07343467          9.856429e-03
95          -0.166737468            0.07364389          1.207680e-02
96           0.893884469            0.07839603          1.328051e-02
97          -0.190265950            0.07731886          1.300985e-02
98          -0.298171464            0.07680442          3.083565e-02
99          -0.160962986            0.11825086         -1.138262e-02
100         -0.135803882            0.07507099          5.609710e-03
101         -0.202687757            0.07408650          6.578535e-03
102          0.722657502            0.07790897          7.068671e-03
103         -0.060931342            0.07675243          2.827455e-02
104         -0.106112549            0.08124020          2.116547e-02
105         -0.049363673            0.08090440         -7.570694e-04
106          0.161877418            0.07662289          6.945603e-03
107         -0.048576711            0.07535395          1.046987e-02
108          0.605495318            0.07499850          1.170190e-02
109         -0.089842880            0.08222463          1.441135e-02
110         -0.221008763            0.08315451          5.681859e-02
111         -0.126146869            0.07309303         -3.868721e-02
112          0.489126595            0.07537471          1.379210e-02
113          0.130643718            0.07541204          9.913383e-03
114          0.687623853            0.07723180          1.114957e-02
115         -0.035130214            0.08412343         -2.106196e-02
116         -0.130117635            0.08364513          6.599826e-03
117         -0.028259158            0.06950311          4.364496e-03
118          0.151679135            0.07465684          5.974303e-03
119          0.070865529            0.07635562          1.169302e-02
120          0.477573305            0.08927160          1.108225e-03
121         -0.220947960            0.07822518          2.351976e-03
122         -0.309735039            0.10403422         -1.562901e-02
123         -0.187870253            0.09014529         -2.139985e-02
124         -0.056776606            0.07571098          1.210201e-02
125         -0.207685690            0.07545439          1.006212e-02
126          0.788251027            0.08201502          1.199437e-02
127          0.023378006            0.06277776          3.567463e-02
128         -0.095797899            0.08771722          3.670830e-02
129          0.041298796            0.10158464          2.111261e-02
130          0.315551492            0.08076873         -8.427151e-04
131          0.032382498            0.07523229          1.072870e-02
132          0.771903907            0.07522022          4.598348e-03
133         -0.160763360            0.09873191          1.489559e-02
134         -0.355934450            0.07236500          3.998629e-02
135         -0.153671532            0.05780106          3.750052e-02
136          0.063011156            0.07700224          1.013514e-02
137         -0.223631181            0.07502065          1.058615e-02
138          0.918782825            0.08317876          1.535144e-02
139         -0.140910030            0.07319390          1.212546e-02
140         -0.227134869            0.08623101         -1.508160e-02
141         -0.140123155            0.08026198         -4.473163e-03
142          0.109559621            0.07633185          4.767026e-03
143         -0.053058540            0.07461774          1.098397e-02
144          0.683839910            0.08072123          1.198195e-02
145          0.188416273            0.07217207          3.511152e-03
146          0.108230987            0.07400414          9.255140e-03
147          0.218795958            0.11065693         -1.954166e-02
    tBodyAccJerk-mean()-Z tBodyGyro-mean()-X tBodyGyro-mean()-Y
1           -4.168406e-03      -0.0418309635       -0.069530046
2           -4.556254e-02       0.0505493798       -0.166170015
3           -1.097197e-02      -0.0350781903       -0.090937129
4           -3.367792e-03      -0.0453500565       -0.091924155
5           -2.451681e-03      -0.0243317134       -0.059936306
6            1.083424e-02      -0.0165530940       -0.064486124
7            7.895337e-03      -0.0530258157       -0.048238232
8            1.948144e-02      -0.0576912635       -0.032088310
9           -2.093517e-02      -0.1159473529       -0.004823292
10           7.605469e-03      -0.0454706620       -0.059928680
11          -6.528738e-03      -0.0265763224       -0.081855645
12          -1.802649e-03      -0.0184766067       -0.111800825
13          -5.622646e-03      -0.0256405193       -0.077915094
14           2.082055e-02       0.0721980309       -0.139275406
15          -2.027280e-03      -0.1315732765       -0.013935804
16          -4.233484e-03      -0.0385365205       -0.075241003
17          -8.071779e-03      -0.0246626071       -0.058510192
18          -4.356259e-03      -0.0208170540       -0.071850716
19          -7.676793e-04      -0.0317982558       -0.072690528
20           3.402808e-03       0.0393825199       -0.085947168
21          -7.291378e-03      -0.1028388225       -0.070402595
22          -1.215000e-02      -0.0494435116       -0.089430061
23          -2.118899e-02      -0.0306449342       -0.061824851
24          -6.410543e-03      -0.0092315635       -0.093012818
25           8.321594e-05      -0.0488919897       -0.069013525
26          -2.559095e-02       0.0395191121       -0.117195552
27           2.133977e-02      -0.0682945699       -0.070780600
28           3.386096e-03      -0.0422355210       -0.083548408
29          -1.228122e-02      -0.0322711903       -0.050987505
30          -3.040672e-03      -0.0218935014       -0.079870960
31          -7.389312e-03      -0.0255096186       -0.074446247
32          -2.378166e-03      -0.0767406826       -0.051898199
33          -9.324706e-03      -0.0960837438       -0.034178221
34           6.237278e-03      -0.0372442283       -0.089908330
35          -4.817122e-03      -0.0282519130       -0.058982364
36           3.288173e-03      -0.0079605027       -0.107218315
37          -2.103986e-02       0.0022883521       -0.083711372
38          -7.451967e-05      -0.1387781080       -0.002471620
39          -1.603904e-02      -0.1054096130       -0.049717461
40           1.620041e-02      -0.0496379720       -0.033611965
41          -1.084203e-02      -0.0291582213       -0.077433644
42          -1.316539e-02      -0.0028264191       -0.133605695
43          -6.737989e-04       0.0235088228       -0.095791791
44          -6.745839e-02       0.1927044760       -0.204205356
45          -3.943562e-02      -0.1211896260       -0.050076017
46          -1.068089e-02      -0.0547396987       -0.095508924
47           3.221533e-03      -0.0219671978       -0.028011763
48          -1.692188e-02       0.0053536121       -0.089137414
49           4.147627e-03      -0.0808360599       -0.062559871
50           7.660466e-03      -0.1639671900       -0.041258791
51           2.625689e-03      -0.0916383011       -0.071259884
52          -8.674673e-03      -0.0423288768       -0.041427118
53          -4.700786e-03      -0.0291831363       -0.060810158
54          -7.053678e-03      -0.0136320361       -0.158902920
55          -1.629532e-02       0.0106894976       -0.081954078
56          -5.133758e-02       0.0733447168       -0.095460022
57           1.526172e-04      -0.1248395943       -0.106742539
58          -4.995664e-03      -0.0432432177       -0.067999360
59          -4.858410e-03      -0.0281854326       -0.087682049
60           7.166896e-03      -0.0195559372       -0.077032566
61          -1.336483e-02      -0.0426928995       -0.070510497
62          -1.514639e-02      -0.0820909702       -0.056692881
63          -2.252089e-02      -0.1250686991       -0.026277535
64           8.334008e-03      -0.0399984916       -0.075528448
65          -7.459162e-04      -0.0293141521       -0.076546504
66           2.776905e-03      -0.0191743840       -0.041559990
67           5.025870e-03      -0.1045136709       -0.034429108
68           9.066628e-03      -0.0931234102       -0.041131452
69           4.852624e-03      -0.1125315644       -0.042733669
70          -2.045760e-03      -0.0424159183       -0.075198040
71          -7.881314e-03      -0.0300030427       -0.070008375
72          -4.371484e-03      -0.0146546807       -0.083553735
73           5.972490e-03      -0.0174207635       -0.079847250
74          -2.541263e-02      -0.1382937623        0.003819669
75          -2.529777e-02      -0.1226722018       -0.023720572
76          -2.323972e-02      -0.0355124857       -0.090268740
77          -7.049793e-04      -0.0295492164       -0.075320524
78          -9.883897e-03      -0.0097360997       -0.096625070
79           1.997230e-02      -0.0034765506       -0.082968285
80           3.441995e-03       0.0813841685       -0.123499570
81           1.049526e-02      -0.0147079653       -0.094528841
82          -1.057445e-02      -0.0440403327       -0.071347828
83          -7.207778e-03      -0.0220886527       -0.055810883
84          -3.236015e-02       0.0050522118       -0.153423808
85           6.587062e-04      -0.0554883848       -0.061242788
86          -5.258799e-03       0.0903340030       -0.154721289
87          -1.002129e-02      -0.1366186531       -0.034675573
88          -2.372075e-03      -0.0377111130       -0.080342876
89          -6.587371e-03      -0.0262433562       -0.065963752
90          -4.439280e-03      -0.0168300888       -0.061970087
91           3.608033e-03      -0.0151721913       -0.069595569
92           3.805336e-02       0.0718408878       -0.048613679
93          -2.931226e-02      -0.0225373370       -0.068264793
94          -1.150306e-02      -0.0412014042       -0.057452543
95          -4.763106e-03      -0.0299337294       -0.068667733
96          -1.541051e-03      -0.0161545407       -0.113675061
97           2.437533e-02      -0.0092226552       -0.083977334
98           7.595338e-03      -0.0304250571       -0.054845594
99          -9.398381e-03       0.0677728391       -0.123517196
100         -1.554484e-03      -0.0425491590       -0.066924593
101         -4.035996e-03      -0.0269576937       -0.077063213
102         -1.435425e-04      -0.0234756467       -0.094458019
103          1.068509e-02      -0.0399399716       -0.061372736
104          9.358966e-03      -0.0470683915       -0.052613382
105         -1.417699e-02      -0.0576548656       -0.063621434
106          2.787570e-03      -0.0333057034       -0.068579634
107         -1.816405e-03      -0.0265873249       -0.073226013
108         -1.213448e-03      -0.0251761807       -0.083758731
109         -3.275287e-02      -0.0274970980       -0.075156933
110          3.166820e-02       0.0388537088       -0.134514321
111         -9.552025e-03      -0.2057754273        0.027470756
112          1.731068e-03      -0.0214151280       -0.052020789
113          1.292163e-03      -0.0250905740       -0.063142983
114         -9.886909e-04      -0.0312072731       -0.095262801
115          6.344572e-03      -0.0234104226       -0.074105055
116         -2.454210e-02       0.0659193259       -0.174650965
117         -2.534821e-03      -0.1113677476        0.013902340
118          1.601349e-03      -0.0364059290       -0.065068935
119         -6.136819e-03      -0.0241335050       -0.069830892
120         -3.098918e-03      -0.0231760616       -0.095489963
121         -1.018134e-02      -0.0459323394       -0.059029444
122         -3.601155e-02       0.0626086889       -0.155622431
123         -1.255511e-02      -0.1263880236        0.016214530
124         -1.753522e-04      -0.0198712821       -0.065307750
125         -3.320937e-03      -0.0191731896       -0.073811587
126         -1.390534e-02      -0.0305126189       -0.113800486
127          4.436914e-03       0.0007771571       -0.096088073
128         -3.361697e-02       0.1349788079       -0.181458414
129          1.124990e-02      -0.0779611213       -0.069715446
130         -1.268525e-02      -0.0360430675       -0.079361744
131         -6.262917e-03      -0.0275201762       -0.069006769
132         -4.674387e-03      -0.0208311371       -0.092572312
133         -1.908106e-03      -0.0631156870       -0.064019792
134          1.592342e-02       0.0957940246       -0.111564389
135         -9.827171e-04      -0.0578230190       -0.085307746
136         -1.488234e-03      -0.0472583464       -0.068432555
137         -5.292609e-03      -0.0327397745       -0.065226479
